ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
1388,"Biomass based cogeneration project at Bihar, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Under validation,India,"75,764",Asia,,,
1727,Biomass Power Projects by Spark Green Energy Group India,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0018,Registration requested,India,"263,244",Asia,2018-01-09,,
1687,Grid connected bundled wind projects in Gujarat and Tamil Nadu,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under validation,India,"6,762",Asia,,,
1676,Çiçekli HEPP Project,Kurtal Elektrik Uretim A.S.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under development,Turkey,"10,417",Middle East,,2017-06-14,2027-06-13
1652,Centrale Solaire de Malicounda - Groupe Solaria,SENELEC,Energy industries (renewable/non-renewable sources),,ACM0002,Under development,Senegal,"26,547",Africa,,2016-09-07,2026-09-06
1583,Solar Grouped project by Hero Future Energies Private Limited (EKIESL-VCS-Aug-16-02),Clean Solar Power (Dhar) Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Under development,India,"55,242",Asia,,,
1212,"10 MWp Grid Interactive Solar Power Project in Gujarat Solar Park, India",M/s. Emami Cement Limited.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under validation,India,"14,958",Asia,,2019-12-01,2026-11-30
1314,Guohua Tongliao Kezuo Zhongqi Phase II 49.5 MW Wind Farm Project,"Guohua (Tongliao) Wind Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,China,"120,475",Asia,,,
1568,"Wind Power Project by ASTRA LIFECARE (INDIA) PRIVATE LIMITED at GUJARAT, INDIA",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under validation,India,"7,333",Asia,,,
1562,Hydroelectric Project Aures Bajo,Aures Bajo S.A E.S.P,Energy industries (renewable/non-renewable sources),,ACM0002,Under development,Colombia,"38,148",Latin America,,,
1309,Clean Energy Project in India,Evergreen Ecotech Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Under development,India,"50,120",Asia,,2022-04-30,2032-04-29
1545,One True Measure (Pty) Ltd Solar PV Grouped Project in South Africa,One True Measure (Pty) Ltd,Energy industries (renewable/non-renewable sources),,AMS-II.F.,Under validation,South Africa,"1,220",Africa,,,
1534,Wind Based Power Generation by Rajasthan Gum Pvt ltd (EKIESL-VCS-March- 16-01),Rajasthan Gum Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Under development,India,"67,925",Asia,,,
1350,New Ulsan 950MW LNG power generation project,"Korea East-West Power Co., Ltd",Energy industries (renewable/non-renewable sources),,AM0029,Under validation,South Korea,"1,141,743",Asia,,,
1509,Erik 15.02 MW Hydroelectric Power Plant Project,Kıyı Enerji Elektrik Uretim Anonim Sirketi,Energy industries (renewable/non-renewable sources),,ACM0002,Under development,Turkey,"21,584",Middle East,,2016-04-01,2026-03-31
1494,Tsiazompaniry Hydropower Project in Madagascar,HENRI FRAISE FILS & Cie,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under development,Madagascar,"8,309",Africa,,,
1492,Astidey - Talas del Maciel I,Astidey S.A,Energy industries (renewable/non-renewable sources),,ACM0002,Under validation,Uruguay,"121,330",Latin America,,,
1491,São Domingos II Hydroelectric Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Under development,Brazil,"41,428",Latin America,,,
1484,"Grouped Hydro Power Project near Shanag Village in District Kullu of Himachal Pradesh, India",Kalima Hydro Power Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under validation,India,"37,195",Asia,,,
1237,YUCE Hydroelectric Power Plant,Menerji Elektrik Uretim Dag. Paz. San. Ve Tic. San,Energy industries (renewable/non-renewable sources),,ACM0002,Registration requested,Turkey,"16,759",Middle East,,,
1431,"Biomass Based Co-generation project by DRRK Foods, India",DRRK Foods Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Under validation,India,"44,824",Asia,,,
1430,"Renewable Solar Project, India",Kanaka Management Services Pvt. Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Under development,India,"62,763",Asia,,,
