ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
2028,100 MW Solar Project by Avaada in UP (India),Avaada Non-Conventional UPProject Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"185,303",,,,
2029,Huaneng Daqing Heping Wind Farm Project,"Daqing Lvyuan Wind Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,China,"115,860",,,,
2030,Huaneng Daqing Xinli Wind Farm Project,"Daqing Lvyuan Wind Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,China,"115,397",,,,
2009,Renewable Energy Generation at Hamira,Enen Green Services Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Rejected by Administrator,India,"116,832",Asia,,,
2011,Huaneng Liaoning Fuxin Phase II Wind Farm Project,"Huaneng New Energy Industrial Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,China,"659,993",,,,
2012,Liaoning Fuxin Gaoshanzi 100.5MW Wind Power Project,"Huaneng New Energy Industrial Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,China,"220,542",,,,
2013,Jilin Tongyu Huaneng 100.5MW Wind Power Project,"Huaneng New Energy Industrial Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,China,"253,287",,,,
2015,Renewable Solar Photovoltaic Project by ACME Group,ACME Cleantech Solutions Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"3,906,661",,,,
2006,West Huaybong 3 wind farm project,First Korat Wind Company Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Rejected by Administrator,Thailand,"139,035",Asia,,,
1984,"40 MW Bundled Solar Project in Telangana, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"79,241",,,,
1977,Oualidia 1&2 Wind Projects,AERA Group,Energy industries (renewable/non-renewable sources),,ACM0002,Inactive,Morocco,"44,294",,,2020-04-06,2030-04-05
1978,"Malleco, Lomas de Duqueco and Negrete Wind Project, Chile",Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Rejected by Administrator,Chile,"699,147",Latin America,,2021-01-01,2030-12-31
1973,Huaneng Tongyu Tuanjie Phase E Wind Farm Project,"Huaneng Jilin Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Rejected by Administrator,China,"103,905",Asia,,2020-07-01,2027-06-30
1966,Huaneng Gansu Huajialing 49.5MW Wind Power Project,"Huaneng Huajialing Wind Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,China,"91,046",,,,
1951,HUANENG CHANGTU TAIPING WIND FARM PROJECT,"Huaneng Changtu Wind Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,China,"102,738",,,,
1952,Huaneng Tongyu Tuanjie Phase A Wind Farm Project,"Huaneng Jilin Power Generation Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,China,"96,208",,,,
1948,"Badamsha Wind Farm in Kazakhstan- DUPLICATE, see ID 1954",Eni S.p.A. Energy Solutions Initiatives Monitoring and Reporting,Energy industries (renewable/non-renewable sources),,ACM0002,Inactive,Kazakhstan,"172,406",,,2019-12-31,2029-12-30
1942,Renewable Solar Power Project by Hero Future Energies,Hero Future Energies Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"601,957",,,,
1922,Amasya Solar Power Project,Neptun Enerji A.S.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Withdrawn,Turkey,"9,356",,,2017-08-23,2027-08-22
1924,Tokat Solar Power Project,Bahceli Enerji A.S.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Withdrawn,Turkey,"4,765",Asia,,2017-10-19,2027-10-18
1874,Zhangjiakou Chabei Wind Farm Project,Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,China,"203,090",,,,
1843,100 MW SOLAR BY GIRIRAJ RENEWABLES PVT. LTD.- SATARA.,Giriraj Renewables Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"135,329",Asia,,2018-04-16,2028-04-15
1845,30 MW SOLAR BY AVAADA SUSTAINABLE ENERGY PVT LTD – HANAGAL.,Avaada Sustainable Energy Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"43,825",,,,
1846,30 MW SOLAR BY SOLARSYS NON CONVENTIONAL ENERGY PVT. LTD. - BANAVIKAL.,Solarsys Non conventional Energy Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"43,825",,,,
1834,60 MW Solar by Solarsys Non Conventional Energy Pvt. Ltd. - Ilkal.,WeAct Pty Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"87,651",Asia,,2018-03-31,2028-03-30
1819,"19.2 MWp Solar Power Project by HZL at Debari and Dariba, Rajasthan",Hindustan Zinc Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"23,859",Asia,2019-10-17,2017-03-25,2027-03-24
1814,"Wind Power Project in Gujarat, India",Vish Wind Infrastructure LLP,Energy industries (renewable/non-renewable sources),,ACM0002,Rejected by Administrator,India,"57,170",Asia,,,
345,Wind power project by HZL in Karnataka.,Hindustan Zinc Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"65,036",Asia,2010-03-09,,
344,Wind power project by HZL in Gujarat.,Hindustan Zinc Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"158,127",Asia,2020-04-06,,
1781,MRMPL Wind Power Project,Modern Road Makers Pvt Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"32,788",Asia,2018-02-08,,
1778,Lahendong Unit 5 & Unit 6 Geothermal Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,Indonesia,"181,030",Asia,2018-07-17,2016-09-15,2026-09-14
1692,15 MW Wind Power Project by RSPL Ltd (EKIESL-CDM-May-16-04),RSPL Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Withdrawn,India,"29,758",Asia,2017-08-04,,
1678,Grid Connected Wind Energy Generation at Andhra Pradesh.,Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,ACM0002,Rejected by Administrator,India,"18,161",Asia,,,
1173,San Andres Hydroelectric project,Celsia Colombia S.A. E.S.P.,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,Colombia,"47,317",Latin America,2020-04-06,,
933,6.25 MW wind power project by VELATAL SPINNING MILLS PVT LTD,VELATAL SPINNING MILLS PRIVATE LIMITED,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Inactive,India,"12,476",Asia,2012-12-05,,
1134,52.50 MW Wind energy farm at Mokla Rajasthan by HZL,Hindustan Zinc Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"85,863",Asia,2020-06-04,,
1135,27.3 MW Wind energy farm at Mokla Rajasthan by HZL,Hindustan Zinc Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"44,627",Asia,2020-06-04,,
1136,25.5 MW Wind Energy Farm at Nandurbar Maharashtra by HZL,Hindustan Zinc Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"42,912",Asia,2020-06-04,,
1137,"21 MW Wind energy farm at Palladam, TamilNadu by HZL",Hindustan Zinc Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,India,"42,131",Asia,2020-06-04,,
1138,9 MW Wind Energy Farm at Jodhpur Rajasthan by HZL,Hindustan Zinc Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Withdrawn,India,"14,846",Asia,2020-06-04,,
1139,"15 MW Wind energy farm at Gopalpura, Karnataka by HZL",Hindustan Zinc Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Withdrawn,India,"31,875",Asia,2020-04-06,,
1536,Grid Connected Solar Power Project at Rajasthan by Roha Dychem Private Limited,Roha Dyechem Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Rejected by Administrator,India,"41,082",Asia,,,
174,Shilong Small-Scale Hydro Power Project,"GUONENG SPDDR NEWENERGY&INVESTMENT CO.,LTD",Energy industries (renewable/non-renewable sources),,AMS-I.D.,Inactive,China,"43,824",Asia,2015-10-06,,
175,Siliping Small-Scale Hydro Power Project,"GUONENG SPDDR NEWENERGY&INVESTMENT CO.,LTD",Energy industries (renewable/non-renewable sources),,AMS-I.D.,Inactive,China,"17,144",Asia,2015-10-06,,
783,Bangkok Kamphaeng Saen East: Landfill Gas to Electricity Project,"Bangkok Green Power Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Withdrawn,Thailand,"273,086",Asia,,,
1062,FOUM EL OUED WIND FARM PROJECT,Energie Eolienne du Maroc,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,Morocco,"141,991",Africa,,,
1460,Artvin Hydroelectric Power Plant,DOGUS ENERJI URETIM VE TICARET A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Rejected by Administrator,Turkey,"520,370",,,,
2166,Chongqing Youyang County Youchou Hydropower Station Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,China,"334,000",,,,
2162,"2 x 3.5 MW Ullunkal Hydro Power Project in Kerala, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Withdrawn,India,"16,125",,,,
2157,BAESA Project `,MER,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,Brazil,"318,793",,2012-03-06,,
2136,cancelled duplicate of VCSR218,MER,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,China,"115,912",,2013-09-25,,
